game,shots,hits,accuracy
550,36,17,47.22222222222222
551,52,17,32.69230769230769
552,42,17,40.476190476190474
553,64,17,26.5625
554,34,17,50.0
555,29,17,58.620689655172406
556,41,17,41.46341463414634
557,35,17,48.57142857142857
558,46,17,36.95652173913043
559,40,17,42.5
560,32,17,53.125
561,43,17,39.53488372093023
562,43,17,39.53488372093023
563,37,17,45.94594594594595
564,48,17,35.41666666666667
565,45,17,37.77777777777778
566,37,17,45.94594594594595
567,50,17,34.0
568,89,17,19.101123595505616
569,56,17,30.357142857142854
570,58,17,29.310344827586203
571,72,17,23.61111111111111
572,57,17,29.82456140350877
573,35,17,48.57142857142857
574,40,17,42.5
575,57,17,29.82456140350877
576,39,17,43.58974358974359
577,57,17,29.82456140350877
578,52,17,32.69230769230769
579,48,17,35.41666666666667
580,29,17,58.620689655172406
581,47,17,36.17021276595745
582,35,17,48.57142857142857
583,39,17,43.58974358974359
584,47,17,36.17021276595745
585,103,17,16.50485436893204
586,48,17,35.41666666666667
587,60,17,28.333333333333332
588,70,17,24.285714285714285
589,50,17,34.0
590,63,17,26.984126984126984
591,50,17,34.0
592,50,17,34.0
593,32,17,53.125
594,53,17,32.075471698113205
595,37,17,45.94594594594595
596,51,17,33.33333333333333
597,94,17,18.085106382978726
598,51,17,33.33333333333333
599,42,17,40.476190476190474
600,48,17,35.41666666666667
601,60,17,28.333333333333332
602,48,17,35.41666666666667
603,58,17,29.310344827586203
604,33,17,51.515151515151516
605,55,17,30.909090909090907
606,44,17,38.63636363636363
607,40,17,42.5
608,44,17,38.63636363636363
609,32,17,53.125
610,58,17,29.310344827586203
611,46,17,36.95652173913043
612,56,17,30.357142857142854
613,53,17,32.075471698113205
614,33,17,51.515151515151516
615,42,17,40.476190476190474
616,94,17,18.085106382978726
617,45,17,37.77777777777778
618,56,17,30.357142857142854
619,36,17,47.22222222222222
620,55,17,30.909090909090907
621,41,17,41.46341463414634
622,42,17,40.476190476190474
623,61,17,27.86885245901639
624,46,17,36.95652173913043
625,43,17,39.53488372093023
626,48,17,35.41666666666667
627,47,17,36.17021276595745
628,45,17,37.77777777777778
629,41,17,41.46341463414634
630,52,17,32.69230769230769
631,45,17,37.77777777777778
632,55,17,30.909090909090907
633,53,17,32.075471698113205
634,38,17,44.73684210526316
635,53,17,32.075471698113205
636,39,17,43.58974358974359
637,45,17,37.77777777777778
638,58,17,29.310344827586203
639,52,17,32.69230769230769
640,53,17,32.075471698113205
641,56,17,30.357142857142854
642,34,17,50.0
643,51,17,33.33333333333333
644,37,17,45.94594594594595
645,56,17,30.357142857142854
646,46,17,36.95652173913043
647,42,17,40.476190476190474
648,53,17,32.075471698113205
649,44,17,38.63636363636363
650,60,17,28.333333333333332
651,51,17,33.33333333333333
652,43,17,39.53488372093023
653,64,17,26.5625
654,93,17,18.27956989247312
655,47,17,36.17021276595745
656,68,17,25.0
657,47,17,36.17021276595745
658,45,17,37.77777777777778
659,44,17,38.63636363636363
660,51,17,33.33333333333333
661,74,17,22.972972972972975
662,39,17,43.58974358974359
663,69,17,24.637681159420293
664,67,17,25.37313432835821
665,43,17,39.53488372093023
666,49,17,34.69387755102041
667,52,17,32.69230769230769
668,59,17,28.8135593220339
669,43,17,39.53488372093023
670,48,17,35.41666666666667
671,52,17,32.69230769230769
672,54,17,31.48148148148148
673,88,17,19.318181818181817
674,51,17,33.33333333333333
675,94,17,18.085106382978726
676,57,17,29.82456140350877
677,55,17,30.909090909090907
678,52,17,32.69230769230769
679,62,17,27.419354838709676
680,45,17,37.77777777777778
681,49,17,34.69387755102041
682,32,17,53.125
683,57,17,29.82456140350877
684,57,17,29.82456140350877
